City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
238,Yangambi,CD,0.8102,24.4336,broken clouds,75.49,77,75,2.46
239,Sao Joao Da Barra,BR,-21.6403,-41.0511,few clouds,86.0,48,20,11.5
240,Ashqelon,IL,31.6693,34.5715,scattered clouds,59.0,58,34,14.47
241,Sesheke,ZM,-17.4759,24.2968,clear sky,68.27,42,1,6.2
242,Port Shepstone,ZA,-30.7414,30.455,scattered clouds,73.58,87,50,11.63
243,Thompson,CA,55.7435,-97.8558,scattered clouds,35.6,64,40,9.22
244,Wanning,CN,18.8003,110.3967,broken clouds,74.84,89,59,10.47
245,Vao,NC,-22.6667,167.4833,heavy intensity rain,78.53,88,100,36.82
246,Goderich,CA,43.7501,-81.7165,overcast clouds,66.2,55,98,4.61
247,Shieli,KZ,44.1667,66.75,clear sky,50.59,39,0,15.32
248,Kibala,TD,9.1104,18.3463,clear sky,95.0,38,0,4.03
249,Quatre Cocos,MU,-20.2078,57.7625,light rain,80.01,78,40,11.5
250,Iquique,CL,-20.2208,-70.1431,clear sky,69.8,56,0,9.22
251,Hun,LY,29.1268,15.9477,broken clouds,69.46,27,64,14.83
252,Opuwo,NA,-18.0607,13.84,few clouds,74.43,29,11,9.31
253,Tuktoyaktuk,CA,69.4541,-133.0374,broken clouds,-18.4,76,75,5.75
254,Sola,VU,-13.8833,167.55,broken clouds,77.0,100,75,3.71
255,Victoria,HK,22.2855,114.1577,few clouds,71.01,79,15,1.01
256,Sheboygan,US,43.7333,-87.9334,overcast clouds,57.2,77,90,11.5
257,Port Blair,IN,11.6667,92.75,scattered clouds,81.95,75,41,4.83
258,Banjar,ID,-8.19,114.9675,few clouds,80.6,89,20,4.61
259,Gisborne,NZ,-38.6533,178.0042,broken clouds,70.0,76,57,4.0
260,Axim,GH,4.8699,-2.2405,overcast clouds,82.47,79,92,11.34
261,Joutseno,FI,61.118,28.5076,light rain,35.6,80,75,11.5
262,Oriximina,BR,-1.7656,-55.8661,broken clouds,89.87,52,54,5.5
263,Tilichiki,RU,60.4667,166.1,overcast clouds,5.29,83,100,14.81
264,Mvangue,CM,2.9667,11.5167,light rain,72.45,88,91,3.71
265,Acapulco,MX,16.8634,-99.8901,clear sky,84.2,65,1,11.5
266,Narsaq,GL,60.9167,-46.05,few clouds,44.6,61,20,8.05
267,Cidreira,BR,-30.1811,-50.2056,overcast clouds,80.26,61,91,9.28
