City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
217,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
218,Kawalu,ID,72.88,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
221,Bubaque,GW,77.63,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
223,Acolla,PE,59.16,overcast clouds,-11.7319,-75.5463,Hospedaje La Cebadita
226,Rawlins,US,55.0,clear sky,41.7911,-107.2387,Holiday Inn Express Rawlins
230,Richards Bay,ZA,72.18,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
231,Necochea,AR,64.0,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
232,Knysna,ZA,59.0,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
235,Vredendal,ZA,68.41,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
236,Curup,ID,66.36,overcast clouds,-3.4667,102.5333,Ayi The Costel
240,Ashqelon,IL,59.0,scattered clouds,31.6693,34.5715,Leonardo Ashkelon
241,Sesheke,ZM,68.27,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
242,Port Shepstone,ZA,73.58,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
244,Wanning,CN,74.84,broken clouds,18.8003,110.3967,Paradise Hotel
245,Vao,NC,78.53,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
246,Goderich,CA,66.2,overcast clouds,43.7501,-81.7165,Harmony Inn
247,Shieli,KZ,50.59,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
250,Iquique,CL,69.8,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
251,Hun,LY,69.46,broken clouds,29.1268,15.9477,Alrwasi Hotel
254,Sola,VU,77.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
255,Victoria,HK,71.01,few clouds,22.2855,114.1577,Mini Hotel Central
256,Sheboygan,US,57.2,overcast clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
259,Gisborne,NZ,70.0,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
270,Port Macquarie,AU,55.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
271,Asosa,ET,75.87,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
274,Yulara,AU,64.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
280,Ibra,OM,75.87,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
284,Rawson,AR,68.83,clear sky,-43.3002,-65.1023,Hosteria Sampedro
285,Dakar,SN,73.4,clear sky,14.6937,-17.4441,Redface Studios Meublés
288,Pasni,PK,79.32,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
289,Roma,US,77.0,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
291,Bacolod,PH,78.51,broken clouds,10.6667,122.95,Planta Hotel & Residences
294,Gimbi,ET,67.6,overcast clouds,9.1667,35.8333,Sam home
296,Yarmouth,US,62.01,clear sky,41.7057,-70.2286,Blue Rock Resort
297,Khash,IR,70.5,scattered clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
301,Santiago,CL,72.0,scattered clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
302,Dunedin,NZ,56.62,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
307,San Quintin,MX,64.4,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
310,Sendafa,ET,71.6,broken clouds,9.15,39.0333,german hotel
312,Martinsicuro,IT,54.0,scattered clouds,42.8811,13.9145,Hotel Rivadoro
313,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
319,Coquimbo,CL,68.0,clear sky,-29.9533,-71.3436,Punto de encuentro
323,Pontiac,US,73.0,overcast clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
324,Korla,CN,57.54,clear sky,41.7597,86.1469,Gulisitan Hotel
325,Luwuk,ID,78.01,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
329,Kaitangata,NZ,57.99,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
333,Bam,IR,78.51,scattered clouds,29.105999999999998,58.357,Bam Tourist Hotel
334,Los Llanos De Aridane,ES,69.8,few clouds,28.6585,-17.9182,Valle Aridane
336,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
337,Antalaha,MG,75.25,light rain,-14.9003,50.2788,Hotel Vitasoa
346,Rudsar,IR,55.4,mist,37.1376,50.288000000000004,Hotel Bahar
347,San Juan,AR,57.76,overcast clouds,-31.5375,-68.5364,Hotel Provincial
350,Saint George,US,73.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
351,Vanimo,PG,77.25,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
