City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Mokshan,RU,2021-04-06 13:09:47,53.4365,44.6132,34.2,99,100,7.23
223,Japura,ID,2021-04-06 13:09:47,-0.3167,102.35,76.69,90,91,3.0
224,Port Hawkesbury,CA,2021-04-06 13:09:47,45.6169,-61.3485,43.0,100,90,9.22
225,Black River,JM,2021-04-06 13:09:47,18.0264,-77.8487,81.0,73,20,16.11
226,Constitucion,CL,2021-04-06 13:09:48,-35.3333,-72.4167,59.52,77,100,4.56
227,Angoram,PG,2021-04-06 13:09:48,-4.0625,144.0661,74.66,92,99,2.01
228,Xixiang,CN,2021-04-06 13:05:09,35.1628,112.865,57.78,48,100,2.86
229,Borgarnes,IS,2021-04-06 13:09:49,64.5383,-21.9206,27.0,57,100,5.99
230,Meulaboh,ID,2021-04-06 13:04:56,4.1363,96.1285,78.75,84,100,1.57
231,Mildura,AU,2021-04-06 13:09:29,-34.2,142.15,59.0,36,1,1.14
232,Arraial Do Cabo,BR,2021-04-06 13:05:46,-22.9661,-42.0278,71.6,88,40,8.05
233,Malanje,AO,2021-04-06 13:09:49,-9.5402,16.341,74.64,80,99,4.52
234,Birao,CF,2021-04-06 13:09:49,10.2849,22.7882,106.93,6,0,7.49
235,Thompson,CA,2021-04-06 13:09:50,55.7435,-97.8558,28.4,93,90,12.66
236,Maun,BW,2021-04-06 13:09:50,-19.9833,23.4167,92.5,19,47,7.92
237,Jamestown,US,2021-04-06 13:09:50,42.097,-79.2353,48.0,71,1,2.59
238,Mastic Beach,US,2021-04-06 13:09:51,40.7668,-72.8521,51.8,30,1,17.27
239,Sumkino,RU,2021-04-06 13:09:51,58.1108,68.3244,38.3,76,21,10.4
240,Agadez,NE,2021-04-06 13:09:51,19.75,10.25,96.73,4,0,2.84
241,Flers,FR,2021-04-06 13:09:52,48.7372,-0.5747,42.8,56,75,17.27
242,Cape Town,ZA,2021-04-06 13:09:52,-33.9258,18.4232,78.01,41,0,8.05
243,Ugoofaaru,MV,2021-04-06 13:09:52,5.6667,73.0,83.75,70,11,7.4
244,Shimoda,JP,2021-04-06 13:09:52,34.6667,138.95,55.0,79,100,1.01
245,Sept-Iles,CA,2021-04-06 13:09:53,50.2001,-66.3821,44.6,93,90,8.05
246,Malangwa,NP,2021-04-06 13:09:53,26.8568,85.5581,89.1,9,0,2.1
247,Staryy Nadym,RU,2021-04-06 13:09:53,65.6118,72.6842,33.13,98,100,14.63
248,Kalabo,ZM,2021-04-06 13:09:54,-14.97,22.6814,87.78,26,29,9.46
249,Vanavara,RU,2021-04-06 13:09:54,60.34,102.2797,35.17,97,100,5.14
250,Geraldton,AU,2021-04-06 13:09:54,-28.7667,114.6,71.6,78,100,8.05
251,Maamba,ZM,2021-04-06 13:09:55,-17.3667,27.15,83.93,42,6,8.55
252,Cayenne,GF,2021-04-06 13:09:55,4.9333,-52.3333,84.2,79,75,11.5
253,San Carlos Del Zulia,VE,2021-04-06 13:09:55,9.0,-71.9135,78.12,87,100,3.76
254,Pochutla,MX,2021-04-06 13:09:55,15.7432,-96.4661,75.2,69,90,2.71
255,Raga,SS,2021-04-06 13:09:56,8.4596,25.678,104.02,6,85,5.84
256,Tura,IN,2021-04-06 13:09:56,25.5198,90.2201,78.03,17,0,3.2
257,Upernavik,GL,2021-04-06 13:09:56,72.7868,-56.1549,12.22,92,100,8.59
258,Brae,GB,2021-04-06 13:09:57,60.3964,-1.353,33.8,86,90,35.68
259,Manono,CD,2021-04-06 13:09:57,-7.3,27.4167,87.4,52,56,5.19
260,Krasnoselkup,RU,2021-04-06 13:09:57,65.7,82.4667,33.53,99,100,7.47
261,Kathmandu,NP,2021-04-06 13:09:58,27.7167,85.3167,69.8,40,40,3.44
262,Qasigiannguit,GL,2021-04-06 13:09:58,68.8193,-51.1922,21.2,79,75,9.22
263,Vinh,VN,2021-04-06 13:09:58,18.6667,105.6667,75.13,88,5,6.13
264,Auki,SB,2021-04-06 13:09:59,-8.7676,160.7034,76.82,88,100,6.49
265,Sisimiut,GL,2021-04-06 13:09:59,66.9395,-53.6735,25.68,84,100,16.22
266,Ancud,CL,2021-04-06 13:09:59,-41.8697,-73.8203,57.0,100,90,11.5
267,Mittagong,AU,2021-04-06 13:10:00,-34.45,150.45,70.0,91,20,0.92
268,Zhuhai,CN,2021-04-06 13:10:00,22.2769,113.5678,80.01,83,20,10.36
269,Zima,RU,2021-04-06 13:10:00,53.9202,102.0442,31.1,97,90,3.13
270,Portland,US,2021-04-06 13:08:48,45.5234,-122.6762,37.99,75,1,1.79
271,Mount Pleasant,US,2021-04-06 13:10:01,32.7941,-79.8626,63.0,67,1,8.9
272,Lebork,PL,2021-04-06 13:07:24,54.5392,17.7501,41.0,56,75,18.41
273,Barrhead,GB,2021-04-06 13:10:01,55.7992,-4.3929,44.6,36,100,16.11
274,Tuktoyaktuk,CA,2021-04-06 13:10:04,69.4541,-133.0374,-6.61,98,100,10.36
275,Biak,ID,2021-04-06 13:10:04,-0.9131,122.8766,77.97,80,23,4.72
276,Kathu,TH,2021-04-06 13:10:05,7.9178,98.3332,86.0,94,75,3.44
277,Jiwani,PK,2021-04-06 13:10:05,25.05,61.7417,83.79,56,0,14.27
278,Leningradskiy,RU,2021-04-06 13:10:05,69.3833,178.4167,-15.34,98,99,5.28
279,Murgab,TM,2021-04-06 13:10:06,37.4966,61.9714,77.0,29,0,9.22
280,San Policarpo,PH,2021-04-06 13:06:08,12.1791,125.5072,78.82,82,81,11.41
281,Gornyatskiy,RU,2021-04-06 13:10:06,48.2915,40.9575,51.22,50,56,16.91
282,Zhangzhou,CN,2021-04-06 13:10:06,24.5133,117.6556,68.0,56,40,11.18
283,Ukhta,RU,2021-04-06 13:10:07,63.5671,53.6835,38.86,76,100,6.89
284,Ankang,CN,2021-04-06 13:10:07,32.68,109.0172,61.65,65,100,4.34
285,Varhaug,NO,2021-04-06 13:10:07,58.6147,5.6457,37.99,88,94,7.0
286,Pangkalanbuun,ID,2021-04-06 13:10:08,-2.6833,111.6167,76.96,91,100,3.02
287,Ketchikan,US,2021-04-06 13:08:57,55.3422,-131.6461,38.66,97,100,3.96
288,Aginskoye,RU,2021-04-06 13:10:08,51.1,114.53,34.07,50,64,3.85
289,Antigonish,CA,2021-04-06 13:10:08,45.6169,-61.9986,43.0,99,100,1.99
290,Kalundborg,DK,2021-04-06 13:10:09,55.6795,11.0886,43.0,70,40,18.41
291,Bowen,AU,2021-04-06 13:10:09,-20.0167,148.2333,77.0,94,90,3.44
292,Mount Gambier,AU,2021-04-06 13:10:09,-37.8333,140.7667,51.8,93,0,4.61
293,Yabrud,SY,2021-04-06 13:08:09,33.9674,36.6574,84.2,11,0,5.75
